	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co
geldig/adj/nrc_handelsblad_20011011_37/525/L6	geldig/adj/nrc_handelsblad_20011011_37/525	L6	van	prep	van/prep	van	True	L	7	-0.17398508	12638933.0	2069.0
geldig/adj/nrc_handelsblad_20011011_37/525/L7	geldig/adj/nrc_handelsblad_20011011_37/525	L7	procent	noun	procent/noun	procent	True	L	8	0.28386992	480632.0	124.0
geldig/adj/nrc_handelsblad_20011011_37/525/L8	geldig/adj/nrc_handelsblad_20011011_37/525	L8	9	num	9/num	9	True	L	9			
geldig/adj/nrc_handelsblad_20011011_37/525/L9	geldig/adj/nrc_handelsblad_20011011_37/525	L9	slechts	adv	slechts/adv	slechts	True	L	10	1.2154209999999999	133553.0	88.0
geldig/adj/nrc_handelsblad_20011011_37/525/L10	geldig/adj/nrc_handelsblad_20011011_37/525	L10	ben	verb	ben/verb	is	True	L	11	0.58988446	9938754.0	3493.0
geldig/adj/nrc_handelsblad_20011011_37/525/L11	geldig/adj/nrc_handelsblad_20011011_37/525	L11	,	punct	,/punct	,	True	L	12			
geldig/adj/nrc_handelsblad_20011011_37/525/L12	geldig/adj/nrc_handelsblad_20011011_37/525	L12	schrijf	verb	schrijf/verb	schrijft	True	L	13	-0.6738407	160883.0	16.0
geldig/adj/nrc_handelsblad_20011011_37/525/L13	geldig/adj/nrc_handelsblad_20011011_37/525	L13	ook	adv	ook/adv	ook	True	L	14	0.16684048	2214625.0	512.0
geldig/adj/nrc_handelsblad_20011011_37/525/L14	geldig/adj/nrc_handelsblad_20011011_37/525	L14	'	punct	'/punct	'	True	L	15			
geldig/adj/nrc_handelsblad_20011011_37/525/L15												
geldig/adj/nrc_handelsblad_20011011_37/525/R0	geldig/adj/nrc_handelsblad_20011011_37/525	R0	.	punct	./punct	.	True	R	1			
geldig/adj/nrc_handelsblad_20011011_37/525/R1	geldig/adj/nrc_handelsblad_20011011_37/525	R1	sentence_delimiter	none	none	</sentence>	none	R	2			
geldig/adj/nrc_handelsblad_20011011_37/525/R2	geldig/adj/nrc_handelsblad_20011011_37/525	R2	sentence_delimiter	none	none	<sentence>	none	R	3			
geldig/adj/nrc_handelsblad_20011011_37/525/R3	geldig/adj/nrc_handelsblad_20011011_37/525	R3	dat	det	dat/det	Dat	False	R	4	-0.03920701	1849436.0	348.0
geldig/adj/nrc_handelsblad_20011011_37/525/R4	geldig/adj/nrc_handelsblad_20011011_37/525	R4	olie_dom	adj	olie_dom/adj	oliedomme	False	R	5			
geldig/adj/nrc_handelsblad_20011011_37/525/R5	geldig/adj/nrc_handelsblad_20011011_37/525	R5	Talibaan	name	Talibaan/name	Talibaan	False	R	6			
geldig/adj/nrc_handelsblad_20011011_37/525/R6	geldig/adj/nrc_handelsblad_20011011_37/525	R6	totaal	adj	totaal/adj	totaal	False	R	7	-0.226188	51346.0	8.0
geldig/adj/nrc_handelsblad_20011011_37/525/R7	geldig/adj/nrc_handelsblad_20011011_37/525	R7	zonder	prep	zonder/prep	zonder	False	R	8	2.4573147	226930.0	504.0
geldig/adj/nrc_handelsblad_20011011_37/525/R8	geldig/adj/nrc_handelsblad_20011011_37/525	R8	enig	det	enig/det	enige	False	R	9	-0.30323535	62482.0	9.0
geldig/adj/nrc_handelsblad_20011011_37/525/R9	geldig/adj/nrc_handelsblad_20011011_37/525	R9	opleiding	noun	opleiding/noun	opleiding	False	R	10			
geldig/adj/nrc_handelsblad_20011011_37/525/R10	geldig/adj/nrc_handelsblad_20011011_37/525	R10	islamitisch	adj	islamitisch/adj	islamitisch	False	R	11			
geldig/adj/nrc_handelsblad_20011011_37/525/R11	geldig/adj/nrc_handelsblad_20011011_37/525	R11	probeer	verb	probeer/verb	proberen	False	R	12			
geldig/adj/nrc_handelsblad_20011011_37/525/R12	geldig/adj/nrc_handelsblad_20011011_37/525	R12	te	comp	te/comp	te	False	R	13			
geldig/adj/nrc_handelsblad_20011011_37/525/R13	geldig/adj/nrc_handelsblad_20011011_37/525	R13	ben	verb	ben/verb	zijn	False	R	14	0.58988446	9938754.0	3493.0
geldig/adj/nrc_handelsblad_20011011_37/525/R14	geldig/adj/nrc_handelsblad_20011011_37/525	R14	door	comp	door/comp	door	False	R	15			
geldig/adj/nrc_handelsblad_20011011_37/525/R15												
geldig/adj/nrc_handelsblad_19990121_109/94/L0	geldig/adj/nrc_handelsblad_19990121_109/94	L0	ben	verb	ben/verb	is	True	L	1	0.58988446	9938754.0	3493.0
geldig/adj/nrc_handelsblad_19990121_109/94/L1	geldig/adj/nrc_handelsblad_19990121_109/94	L1	bod	noun	bod/noun	bod	True	L	2	1.6077851	18657.0	18.0
geldig/adj/nrc_handelsblad_19990121_109/94/L2	geldig/adj/nrc_handelsblad_19990121_109/94	L2	openbaar	adj	openbaar/adj	openbaar	True	L	3	0.73201793	67063.0	27.0
geldig/adj/nrc_handelsblad_19990121_109/94/L3	geldig/adj/nrc_handelsblad_19990121_109/94	L3	het	det	het/det	Het	True	L	4	-0.09453022	11650779.0	2065.0
geldig/adj/nrc_handelsblad_19990121_109/94/L4	geldig/adj/nrc_handelsblad_19990121_109/94	L4	sentence_delimiter	none	none	<sentence>	none	L	5			
geldig/adj/nrc_handelsblad_19990121_109/94/L5	geldig/adj/nrc_handelsblad_19990121_109/94	L5	sentence_delimiter	none	none	</sentence>	none	L	6			
geldig/adj/nrc_handelsblad_19990121_109/94/L6	geldig/adj/nrc_handelsblad_19990121_109/94	L6	.	punct	./punct	.	False	L	7			
geldig/adj/nrc_handelsblad_19990121_109/94/L7	geldig/adj/nrc_handelsblad_19990121_109/94	L7	Verseidag	name	Verseidag/name	Verseidag	False	L	8			
geldig/adj/nrc_handelsblad_19990121_109/94/L8	geldig/adj/nrc_handelsblad_19990121_109/94	L8	aandeel	noun	aandeel/noun	aandelen	False	L	9	-0.7201073	95095.0	9.0
geldig/adj/nrc_handelsblad_19990121_109/94/L9	geldig/adj/nrc_handelsblad_19990121_109/94	L9	de	det	de/det	de	False	L	10	-0.039381522999999995	28074105.0	5256.0
geldig/adj/nrc_handelsblad_19990121_109/94/L10	geldig/adj/nrc_handelsblad_19990121_109/94	L10	van	prep	van/prep	van	False	L	11	-0.17398508	12638933.0	2069.0
geldig/adj/nrc_handelsblad_19990121_109/94/L11	geldig/adj/nrc_handelsblad_19990121_109/94	L11	procent	noun	procent/noun	procent	False	L	12	0.28386992	480632.0	124.0
geldig/adj/nrc_handelsblad_19990121_109/94/L12	geldig/adj/nrc_handelsblad_19990121_109/94	L12	57	num	57/num	57	False	L	13			
geldig/adj/nrc_handelsblad_19990121_109/94/L13	geldig/adj/nrc_handelsblad_19990121_109/94	L13	van	prep	van/prep	van	False	L	14	-0.17398508	12638933.0	2069.0
geldig/adj/nrc_handelsblad_19990121_109/94/L14	geldig/adj/nrc_handelsblad_19990121_109/94	L14	bezit	noun	bezit/noun	bezit	False	L	15	3.2203586	16393.0	80.0
geldig/adj/nrc_handelsblad_19990121_109/94/L15												
geldig/adj/nrc_handelsblad_19990121_109/94/R0	geldig/adj/nrc_handelsblad_19990121_109/94	R0	tot	prep	tot/prep	tot	True	R	1	0.83115524	1139189.0	510.0
geldig/adj/nrc_handelsblad_19990121_109/94/R1	geldig/adj/nrc_handelsblad_19990121_109/94	R1	en	prep	en/prep	en	True	R	2	3.352057	15353.0	85.0
geldig/adj/nrc_handelsblad_19990121_109/94/R2	geldig/adj/nrc_handelsblad_19990121_109/94	R2	met	prep	met/prep	met	True	R	3	-0.16552584	4230163.0	699.0
geldig/adj/nrc_handelsblad_19990121_109/94/R3	geldig/adj/nrc_handelsblad_19990121_109/94	R3	3	noun	3/noun	3	True	R	4	0.49223208	18982.0	6.0
geldig/adj/nrc_handelsblad_19990121_109/94/R4	geldig/adj/nrc_handelsblad_19990121_109/94	R4	februari	noun	februari/noun	februari	True	R	5	1.048694	56187.0	31.0
geldig/adj/nrc_handelsblad_19990121_109/94/R5	geldig/adj/nrc_handelsblad_19990121_109/94	R5	.	punct	./punct	.	True	R	6			
geldig/adj/nrc_handelsblad_19990121_109/94/R6	geldig/adj/nrc_handelsblad_19990121_109/94	R6	sentence_delimiter	none	none	</sentence>	none	R	7			
geldig/adj/nrc_handelsblad_19990121_109/94/R7	geldig/adj/nrc_handelsblad_19990121_109/94	R7	sentence_delimiter	none	none	<sentence>	none	R	8			
geldig/adj/nrc_handelsblad_19990121_109/94/R8	geldig/adj/nrc_handelsblad_19990121_109/94	R8	(	punct	(/punct	(	False	R	9			
geldig/adj/nrc_handelsblad_19990121_109/94/R9	geldig/adj/nrc_handelsblad_19990121_109/94	R9	Redactie	name	Redactie/name	Redactie	False	R	10			
geldig/adj/nrc_handelsblad_19990121_109/94/R10	geldig/adj/nrc_handelsblad_19990121_109/94	R10	Economie	name	Economie/name	Economie	False	R	11			
geldig/adj/nrc_handelsblad_19990121_109/94/R11	geldig/adj/nrc_handelsblad_19990121_109/94	R11	)	punct	)/punct	)	False	R	12			
geldig/adj/nrc_handelsblad_19990121_109/94/R12	geldig/adj/nrc_handelsblad_19990121_109/94	R12	sentence_delimiter	none	none	</sentence>	none	R	13			
geldig/adj/nrc_handelsblad_19990121_109/94/R13	geldig/adj/nrc_handelsblad_19990121_109/94	R13	sentence_delimiter	none	none	</artikel>	none	R	14			
geldig/adj/nrc_handelsblad_19990121_109/94/R14												
geldig/adj/nrc_handelsblad_19990121_109/94/R15												
geldig/adj/nrc_handelsblad_20031028_137/206/L0	geldig/adj/nrc_handelsblad_20031028_137/206	L0	algemeen	adj	algemeen/adj	algemeen	True	L	1	1.4067899	46530.0	37.0
geldig/adj/nrc_handelsblad_20031028_137/206/L1	geldig/adj/nrc_handelsblad_20031028_137/206	L1	,	punct	,/punct	,	True	L	2			
geldig/adj/nrc_handelsblad_20031028_137/206/L2	geldig/adj/nrc_handelsblad_20031028_137/206	L2	transparant	adj	transparant/adj	transparante	True	L	3	1.0003406	3770.0	2.0
geldig/adj/nrc_handelsblad_20031028_137/206/L3	geldig/adj/nrc_handelsblad_20031028_137/206	L3	van	comp	van/comp	van	True	L	4			
geldig/adj/nrc_handelsblad_20031028_137/206/L4	geldig/adj/nrc_handelsblad_20031028_137/206	L4	plaats	comp	plaats/comp	plaats	True	L	5			
geldig/adj/nrc_handelsblad_20031028_137/206/L5	geldig/adj/nrc_handelsblad_20031028_137/206	L5	in	comp	in/comp	in	True	L	6			
geldig/adj/nrc_handelsblad_20031028_137/206/L6	geldig/adj/nrc_handelsblad_20031028_137/206	L6	,	punct	,/punct	,	True	L	7			
geldig/adj/nrc_handelsblad_20031028_137/206/L7	geldig/adj/nrc_handelsblad_20031028_137/206	L7	geval	noun	geval/noun	geval	True	L	8	0.75902545	150886.0	63.0
geldig/adj/nrc_handelsblad_20031028_137/206/L8	geldig/adj/nrc_handelsblad_20031028_137/206	L8	tot	prep	tot/prep	tot	True	L	9	0.83115524	1139189.0	510.0
geldig/adj/nrc_handelsblad_20031028_137/206/L9	geldig/adj/nrc_handelsblad_20031028_137/206	L9	geval	noun	geval/noun	geval	True	L	10	0.75902545	150886.0	63.0
geldig/adj/nrc_handelsblad_20031028_137/206/L10	geldig/adj/nrc_handelsblad_20031028_137/206	L10	van	prep	van/prep	van	True	L	11	-0.17398508	12638933.0	2069.0
geldig/adj/nrc_handelsblad_20031028_137/206/L11	geldig/adj/nrc_handelsblad_20031028_137/206	L11	,	punct	,/punct	,	True	L	12			
geldig/adj/nrc_handelsblad_20031028_137/206/L12	geldig/adj/nrc_handelsblad_20031028_137/206	L12	deur	noun	deur/noun	deuren	True	L	13			
geldig/adj/nrc_handelsblad_20031028_137/206/L13	geldig/adj/nrc_handelsblad_20031028_137/206	L13	gesloten	adj	gesloten/adj	gesloten	True	L	14			
geldig/adj/nrc_handelsblad_20031028_137/206/L14	geldig/adj/nrc_handelsblad_20031028_137/206	L14	achter	prep	achter/prep	achter	True	L	15	-0.08498141	150814.0	27.0
geldig/adj/nrc_handelsblad_20031028_137/206/L15												
geldig/adj/nrc_handelsblad_20031028_137/206/R0	geldig/adj/nrc_handelsblad_20031028_137/206	R0	regel	noun	regel/noun	regels	True	R	1	1.2342563	50751.0	34.0
geldig/adj/nrc_handelsblad_20031028_137/206/R1	geldig/adj/nrc_handelsblad_20031028_137/206	R1	op	part	op/part	op	True	R	2	-0.27392059999999996	540823.0	80.0
geldig/adj/nrc_handelsblad_20031028_137/206/R2	geldig/adj/nrc_handelsblad_20031028_137/206	R2	te	comp	te/comp	te	True	R	3			
geldig/adj/nrc_handelsblad_20031028_137/206/R3	geldig/adj/nrc_handelsblad_20031028_137/206	R3	stel_op	verb	stel_op/verb	stellen	True	R	4	1.2745291	38667.0	27.0
geldig/adj/nrc_handelsblad_20031028_137/206/R4	geldig/adj/nrc_handelsblad_20031028_137/206	R4	.	punct	./punct	.	True	R	5			
geldig/adj/nrc_handelsblad_20031028_137/206/R5	geldig/adj/nrc_handelsblad_20031028_137/206	R5	sentence_delimiter	none	none	</sentence>	none	R	6			
geldig/adj/nrc_handelsblad_20031028_137/206/R6	geldig/adj/nrc_handelsblad_20031028_137/206	R6	sentence_delimiter	none	none	<sentence>	none	R	7			
geldig/adj/nrc_handelsblad_20031028_137/206/R7	geldig/adj/nrc_handelsblad_20031028_137/206	R7	en	comp	en/comp	En	False	R	8			
geldig/adj/nrc_handelsblad_20031028_137/206/R8	geldig/adj/nrc_handelsblad_20031028_137/206	R8	transparant	adj	transparant/adj	transparante	False	R	9	1.0003406	3770.0	2.0
geldig/adj/nrc_handelsblad_20031028_137/206/R9	geldig/adj/nrc_handelsblad_20031028_137/206	R9	bedrijf	noun	bedrijf/noun	bedrijven	False	R	10	-0.23750816	248130.0	38.0
geldig/adj/nrc_handelsblad_20031028_137/206/R10	geldig/adj/nrc_handelsblad_20031028_137/206	R10	ben	verb	ben/verb	zijn	False	R	11	0.58988446	9938754.0	3493.0
geldig/adj/nrc_handelsblad_20031028_137/206/R11	geldig/adj/nrc_handelsblad_20031028_137/206	R11	veel	adj	veel/adj	veel	False	R	12	-0.43119207	425020.0	54.0
geldig/adj/nrc_handelsblad_20031028_137/206/R12	geldig/adj/nrc_handelsblad_20031028_137/206	R12	moeilijk	adj	moeilijk/adj	moeilijker	False	R	13	-0.64185375	136220.0	14.0
geldig/adj/nrc_handelsblad_20031028_137/206/R13	geldig/adj/nrc_handelsblad_20031028_137/206	R13	te	comp	te/comp	te	False	R	14			
geldig/adj/nrc_handelsblad_20031028_137/206/R14	geldig/adj/nrc_handelsblad_20031028_137/206	R14	controleer	verb	controleer/verb	controleren	False	R	15			
geldig/adj/nrc_handelsblad_20031028_137/206/R15												
geldig/adj/nrc_handelsblad_19990703_19/971/L0	geldig/adj/nrc_handelsblad_19990703_19/971	L0	geen	det	geen/det	geen	True	L	1	1.1402811000000002	1048752.0	637.0
geldig/adj/nrc_handelsblad_19990703_19/971/L1	geldig/adj/nrc_handelsblad_19990703_19/971	L1	daar	noun	daar/noun	daar	True	L	2	-0.75799596	272748.0	25.0
geldig/adj/nrc_handelsblad_19990703_19/971/L2	geldig/adj/nrc_handelsblad_19990703_19/971	L2	ben	verb	ben/verb	is	True	L	3	0.58988446	9938754.0	3493.0
geldig/adj/nrc_handelsblad_19990703_19/971/L3	geldig/adj/nrc_handelsblad_19990703_19/971	L3	,	punct	,/punct	,	True	L	4			
geldig/adj/nrc_handelsblad_19990703_19/971/L4	geldig/adj/nrc_handelsblad_19990703_19/971	L4	beschadig	verb	beschadig/verb	beschadigen	True	L	5	-0.4139656	7838.0	1.0
geldig/adj/nrc_handelsblad_19990703_19/971/L5	geldig/adj/nrc_handelsblad_19990703_19/971	L5	wil	verb	wil/verb	wilde	True	L	6	-0.31502017	946915.0	134.0
geldig/adj/nrc_handelsblad_19990703_19/971/L6	geldig/adj/nrc_handelsblad_19990703_19/971	L6	kind	noun	kind/noun	kinderen	True	L	7	-0.30151805	305978.0	44.0
geldig/adj/nrc_handelsblad_19990703_19/971/L7	geldig/adj/nrc_handelsblad_19990703_19/971	L7	zijn	det	zijn/det	zijn	True	L	8	-0.47113037	2164588.0	264.0
geldig/adj/nrc_handelsblad_19990703_19/971/L8	geldig/adj/nrc_handelsblad_19990703_19/971	L8	brand	noun	brand/noun	brand	True	L	9	-0.79837185	34918.0	3.0
geldig/adj/nrc_handelsblad_19990703_19/971/L9	geldig/adj/nrc_handelsblad_19990703_19/971	L9	die	det	die/det	die	True	L	10	0.29103229999999997	1365392.0	358.0
geldig/adj/nrc_handelsblad_19990703_19/971/L10	geldig/adj/nrc_handelsblad_19990703_19/971	L10	met	prep	met/prep	met	True	L	11	-0.16552584	4230163.0	699.0
geldig/adj/nrc_handelsblad_19990703_19/971/L11	geldig/adj/nrc_handelsblad_19990703_19/971	L11	hij	pron	hij/pron	hij	True	L	12	-0.10709637	2403923.0	423.0
geldig/adj/nrc_handelsblad_19990703_19/971/L12	geldig/adj/nrc_handelsblad_19990703_19/971	L12	dat	comp	dat/comp	dat	True	L	13			
geldig/adj/nrc_handelsblad_19990703_19/971/L13	geldig/adj/nrc_handelsblad_19990703_19/971	L13	toon_aan	verb	toon_aan/verb	aantonen	True	L	14			
geldig/adj/nrc_handelsblad_19990703_19/971/L14	geldig/adj/nrc_handelsblad_19990703_19/971	L14	kan	verb	kan/verb	kunt	True	L	15	0.55776906	1969534.0	671.0
geldig/adj/nrc_handelsblad_19990703_19/971/L15												
geldig/adj/nrc_handelsblad_19990703_19/971/R0	geldig/adj/nrc_handelsblad_19990703_19/971	R0	reden	noun	reden/noun	reden	True	R	1	2.2776961	83250.0	159.0
geldig/adj/nrc_handelsblad_19990703_19/971/R1	geldig/adj/nrc_handelsblad_19990703_19/971	R1	voor	prep	voor/prep	voor	True	R	2	0.44379357	3806927.0	1152.0
geldig/adj/nrc_handelsblad_19990703_19/971/R2	geldig/adj/nrc_handelsblad_19990703_19/971	R2	.	punct	./punct	.	True	R	3			
geldig/adj/nrc_handelsblad_19990703_19/971/R3	geldig/adj/nrc_handelsblad_19990703_19/971	R3	""""	punct	"""/punct"	""""	True	R	4			
geldig/adj/nrc_handelsblad_19990703_19/971/R4	geldig/adj/nrc_handelsblad_19990703_19/971	R4	sentence_delimiter	none	none	</sentence>	none	R	5			
geldig/adj/nrc_handelsblad_19990703_19/971/R5	geldig/adj/nrc_handelsblad_19990703_19/971	R5	sentence_delimiter	none	none	<sentence>	none	R	6			
geldig/adj/nrc_handelsblad_19990703_19/971/R6	geldig/adj/nrc_handelsblad_19990703_19/971	R6	in	prep	in/prep	In	False	R	7	-0.25824369999999996	9492181.0	1425.0
geldig/adj/nrc_handelsblad_19990703_19/971/R7	geldig/adj/nrc_handelsblad_19990703_19/971	R7	de	det	de/det	de	False	R	8	-0.039381522999999995	28074105.0	5256.0
geldig/adj/nrc_handelsblad_19990703_19/971/R8	geldig/adj/nrc_handelsblad_19990703_19/971	R8	buurt	noun	buurt/noun	buurt	False	R	9			
geldig/adj/nrc_handelsblad_19990703_19/971/R9	geldig/adj/nrc_handelsblad_19990703_19/971	R9	loop	verb	loop/verb	liep	False	R	10	-0.046768323	177403.0	33.0
geldig/adj/nrc_handelsblad_19990703_19/971/R10	geldig/adj/nrc_handelsblad_19990703_19/971	R10	de	det	de/det	de	False	R	11	-0.039381522999999995	28074105.0	5256.0
geldig/adj/nrc_handelsblad_19990703_19/971/R11	geldig/adj/nrc_handelsblad_19990703_19/971	R11	situatie	noun	situatie/noun	situatie	False	R	12			
geldig/adj/nrc_handelsblad_19990703_19/971/R12	geldig/adj/nrc_handelsblad_19990703_19/971	R12	ondertussen	adv	ondertussen/adv	ondertussen	False	R	13			
geldig/adj/nrc_handelsblad_19990703_19/971/R13	geldig/adj/nrc_handelsblad_19990703_19/971	R13	uit	fixed	uit/fixed	uit	False	R	14			
geldig/adj/nrc_handelsblad_19990703_19/971/R14	geldig/adj/nrc_handelsblad_19990703_19/971	R14	de	fixed	de/fixed	de	False	R	15			
geldig/adj/nrc_handelsblad_19990703_19/971/R15												
geldig/adj/nrc_handelsblad_19990705_23/68/L0	geldig/adj/nrc_handelsblad_19990705_23/68	L0	blijf	verb	blijf/verb	blijft	True	L	1	1.5134196000000002	516893.0	455.0
geldig/adj/nrc_handelsblad_19990705_23/68/L1	geldig/adj/nrc_handelsblad_19990705_23/68	L1	bon	noun	bon/noun	bon	True	L	2	4.086494999999999	4362.0	50.0
geldig/adj/nrc_handelsblad_19990705_23/68/L2	geldig/adj/nrc_handelsblad_19990705_23/68	L2	de	det	de/det	De	True	L	3	-0.039381522999999995	28074105.0	5256.0
geldig/adj/nrc_handelsblad_19990705_23/68/L3	geldig/adj/nrc_handelsblad_19990705_23/68	L3	sentence_delimiter	none	none	<sentence>	none	L	4			
geldig/adj/nrc_handelsblad_19990705_23/68/L4	geldig/adj/nrc_handelsblad_19990705_23/68	L4	sentence_delimiter	none	none	</sentence>	none	L	5			
geldig/adj/nrc_handelsblad_19990705_23/68/L5	geldig/adj/nrc_handelsblad_19990705_23/68	L5	.	punct	./punct	.	False	L	6			
geldig/adj/nrc_handelsblad_19990705_23/68/L6	geldig/adj/nrc_handelsblad_19990705_23/68	L6	haal_op	verb	haal_op/verb	opgehaald	False	L	7			
