id	model.x	model.y	lemma	pos	genre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	newPos	newBroadGenre	cues	cuesWithWeight	meanWeight	weightedCuesRatio	weightedCW	wf	broadGenre
state/JJ/br-h15/1500	0.0232682431550059	-0.0131839084792558	state	JJ	miscellaneous	A3	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 gather its own information and will receive broad information from <font color=green>State</font>  and Federal sources. It will tell you as soon as	JJ	informative	2	2	3.02	1	7	State	tech
state/JJ/br-j38/1551	0.0123527313224431	0.00673169237713799	state	JJ	learned	A3	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 Federal government but from an exchange of experiences among states. <font color=green>State</font>  and local agencies in the vocational education field must be	JJ	informative	4	3	2.7	0.75	9	State	tech
state/JJ/br-j38/1590	0.00855913637827863	0.00499511809314356	state	JJ	learned	A3	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 Federal effort to provide research and information to help guide <font color=green>state</font>  education departments and local school boards in existing programs. A	JJ	informative	5	5	2.9	1	14	state	tech
state/JJ/br-j38/1871	0.0176171854059274	0.0108738821708491	state	JJ	learned	A3	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 for training to meet national skilled manpower needs. If only <font color=green>state</font>  funds were used to pay for the vocational education, it	JJ	informative	3	3	2.78	1	10	state	tech
state/JJ/br-j38/441	0.00812745681726374	0.0172556744932748	state	JJ	learned	A3	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 enrolled in courses organized under two special programs administered by <font color=green>state</font>  and local school authorities:( 1) Vocational Education for National Defense	JJ	informative	4	4	3.26	1	10	state	tech
state/JJ/br-j38/86	0.0334562079953551	-0.000101882964908656	state	JJ	learned	A1	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 appropriation of$ 7 million to support, on a matching basis, <font color=green>state</font>  administered programs of vocational education in agriculture, trades, industrial skills	JJ	informative	4	3	3.88	0.75	8	state	tech
state/JJ/br-l14/977	-0.0672867480194911	-0.0150487114545513	state	JJ	fiction_mystery	A2	A	AB	ABC	state%5:00:02:public:00	A2	A	AB	ABC	 modern, large, on five acres. Must have cost plenty. The <font color=green>State</font>  cops would check from time to time; pass word when	JJ	imaginative	1	1	2.76	1	10	State	imag
state/NN/br-a01/1015	-0.0175237133810322	0.22038031074526	state	NN	press_reportage	A3	A	AB	ABC	state%1:14:01::	B	B	AB	ABC	 governor 's race, a top official said Wednesday. Robert Snodgrass, <font color=green>state</font>  GOP chairman, said a meeting held Tuesday night in Blue	NN	informative	3	1	1.46	0.33	2	state	others
state/NN/br-a01/1165	-0.060952691542712	0.0146401376446205	state	NN	press_reportage	A3	A	AB	ABC	state%1:14:00::	B1	B	AB	ABC	 largest hurdle the Republicans would have to face is a <font color=green>state</font>  law which says that before making a first race, one	NN	informative	2	2	1.42	1	3	state	others
state/NN/br-a01/1440	-0.109631613722693	0.128541704357889	state	NN	press_reportage	A3	A	AB	ABC	state%1:14:00::	B1	B	AB	ABC	 highway reconstruction bonds. The bond issue will go to the <font color=green>state</font>  courts for a friendly test suit to test the validity	NN	informative	2	1	1.74	0.5	2	state	others
state/NN/br-a01/1835	0.180837268779146	0.0723758493920136	state	NN	press_reportage	A3	A	AB	ABC	state%1:14:00::	B1	B	AB	ABC	 education, provided that such funds be received and expended'' as <font color=green>state</font>  funds. Barber, who is in his 13th year as a	NN	informative	3	2	1.8	0.67	2	state	others
state/NN/br-a01/413	0.00936664086612123	0.100671392973695	state	NN	press_reportage	A4	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 through the welfare departments of all the counties in the <font color=green>state</font>  with the exception of Fulton County, which receives none of	NN	informative	2	2	1.73	1	5	state	others
state/NN/br-a02/1165	-0.0619970522051434	0.0695011207652687	state	NN	press_reportage	A2	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 attorney general and chief justice of the Texas Supreme Court. <font color=green>State</font>  representatives decided Thursday against taking a poll on what kind	NNP	informative	3	2	1.64	0.67	6	State	others
state/NN/br-a02/1454	0.083957143878599	-0.0452012286414045	state	NN	press_reportage	A1	A	AB	ABC	state%1:14:01::	B	B	AB	ABC	 would increase from$ 5000000 to$ 15000000 the maximum loan the <font color=green>state</font>  could make to a local water project. Cotten construed this	NN	informative	3	0	1.34	0	2	state	others
state/NN/br-a02/165	-0.123516162964036	0.210841444648175	state	NN	press_reportage	A1	A	AB	ABC	state%1:14:01::	B	B	AB	ABC	 the books`` since Texas was a republic''. It permits the <font color=green>state</font>  to take over bank accounts, stocks and other personal property	NN	informative	4	1	1.19	0.25	2	state	others
state/NN/br-a02/2003	0.0935674859898157	0.0411646742455254	state	NN	press_reportage	A3	A	AB	ABC	state%1:14:01::	B	B	AB	ABC	 62 session upon the recommendation of Supt. Chester O. Strickland. <font color=green>State</font>  and federal legislation against racial discrimination in employment was called	NNP	informative	2	1	2.08	0.5	3	State	others
state/NN/br-a02/214	0.00632085010581883	0.0285341163458092	state	NN	press_reportage	A2	A	AB	ABC	state_treasurer%1:18:00::	A2	A	AB	ABC	 companies and other corporations to report such property to the <font color=green>state</font>  treasurer. The escheat law cannot be enforced now because it	NN	informative	3	1	1.34	0.33	4	state	others
state/NN/br-a02/470	0.0337225067190155	0.0831182466164773	state	NN	press_reportage	A1	A	AB	ABC	state%1:14:00::	B1	B	AB	ABC	 in the scholastic age at a reduced cost to the <font color=green>state</font> . There was no debate as the Senate passed the bill	NN	informative	3	3	1.5	1	4	state	others
state/NN/br-a02/620	-0.129144297005185	0.270850543476115	state	NN	press_reportage	A2	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 saving them from coming to Austin to live in the <font color=green>state</font>  deaf school. Dallas may get to hear a debate on	NN	informative	3	1	1.44	0.33	2	state	others
state/NN/br-b20/1056	-0.00400101738611128	0.100498903045275	state	NN	press_editorial	C	C	C	ABC	state_department%1:14:00::	C1	C	C	ABC	 which will bring down the wall and reunite the city. <font color=green>State</font>  Department officials refusing to show their passes at the boundary	NNP	informative	2	2	1.68	1	3	State	others
state/NN/br-b20/358	-0.0317342577064457	0.0782372418770983	state	NN	press_editorial	A5	A	AB	ABC	united_states%1:14:00::	A52	A	AB	ABC	 seek a discontinuity in the arms policy of the United <font color=green>States</font>  is the least risky path our government can take. His	NNPS	informative	1	0	1.74	0	2	States	others
state/NN/br-b20/64	0.329686151165895	-0.393035001434861	state	NN	press_editorial	A5	A	AB	ABC	united_states%1:14:00::	A52	A	AB	ABC	 what we are getting. The biggest nuclear device the United <font color=green>States</font>  has exploded measured some 15 megatons, although our B-52s are	NNPS	informative	1	0	1.71	0	1	States	others
state/NN/br-c01/1164	-0.08585682488128	-0.0882373955642824	state	NN	press_reviews	C	C	C	ABC	welfare_state%1:14:00::	B	B	AB	ABC	 we should take from these pages is that the welfare <font color=green>state</font>  in England still allows wild scope for all kinds of	NN	informative	1	1	1.66	1	4	state	others
state/NN/br-d03/319	-0.234302572164293	-0.235784325626918	state	NN	religion	D	D	D	D	state%1:03:00::	D1	D	D	D	 the Roman and Anglican Churches and about the present religious <font color=green>state</font>  of England. Since the Protestant clergy for the most part	NN	informative	2	0	1.01	0	1	state	others
state/NN/br-d04/1145	-0.248549531040062	0.0746220582790896	state	NN	religion	D	D	D	D	state%1:03:00::	D1	D	D	D	 and the whole human race''. Because he interprets the primitive <font color=green>state</font>  of man as one of mere potentiality or capacity and	NN	informative	3	0	1.33	0	1	state	others
state/NN/br-d04/1599	0.0267161055065368	-0.174839932251649	state	NN	religion	D	D	D	D	state%1:03:00::	D1	D	D	D	 interminable and irremediable. But He set a bound to his[ <font color=green>state</font>  of] sin, by interposing death, and thus causing sin to	NN	informative	3	0	1.19	0	1	state	others
state/NN/br-d04/2174	-0.1326812414788	-0.11914297108661	state	NN	religion	D	D	D	D	state%1:03:00::	D1	D	D	D	 existence itself is a form of punishment rather than the <font color=green>state</font>  into which man is put by the will of the	NN	informative	3	1	1.2	0.33	3	state	others
state/NN/br-e02/1595	-0.374486381659594	-0.333839057360301	state	NN	skill_and_hobbies	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 made it possible to ship avocado anywhere in the United <font color=green>States</font> . It has a great many assets to recommend it and	NNPS	informative	1	0	2.2	0	1	States	tech
state/NN/br-e02/1889	-0.374486381659594	-0.333839057360301	state	NN	skill_and_hobbies	D	D	D	D	state%1:03:00::	D1	D	D	D	 temperature at which it lapses into a sort of dormant <font color=green>state</font> . This cooling does not change the avocado in any way	NN	informative	3	0	2.2	0	1	state	tech
state/NN/br-e22/2361	-0.044123474290447	0.136944147108043	state	NN	skill_and_hobbies	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 indeed in the musical history of the entire eastern United <font color=green>States</font> . On that date the Musicians Emergency Fund, organized to furnish	NNPS	informative	1	0	1.52	0	4	States	tech
state/NN/br-e22/71	-0.181587327416628	0.0501196893507373	state	NN	skill_and_hobbies	A5	A	AB	ABC	united_states_of_america%1:15:00::	A51	A	AB	ABC	 Republics. The Serge Prokofieff whom we knew in the United <font color=green>States</font>  of America was gay, witty, mercurial, full of pranks and	NNPS	informative	1	0	1.57	0	1	States	tech
state/NN/br-e27/125	0.196272034482059	-0.3013788632159	state	NN	skill_and_hobbies	A1	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 minerals. The drug 's chemical name is listed, since most <font color=green>states</font>  require feed processors to use this name instead of the	NNS	informative	2	0	1.36	0	2	states	tech
state/NN/br-e27/173	-0.0110586255512898	-0.0696184681975268	state	NN	skill_and_hobbies	A3	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 drug is being marketed under one trade name only or <font color=green>state</font>  regulatory organizations have approved its use on the feed tag	NN	informative	3	1	1.26	0.33	3	state	tech
state/NN/br-f03/1319	-0.137239913600915	-0.338366780442235	state	NN	popular_lore	D	D	D	D	state_of_matter%1:26:00::	D2	D	D	D	 the coexistence of the infinite number of universal, apparently momentary <font color=green>states</font>  of matter, successive one after another in consciousness, but permanent	NNS	informative	2	0	1.35	0	2	states	others
state/NN/br-f14/1295	0.0346941297702515	0.268866840453007	state	NN	popular_lore	B	B	AB	ABC	state%1:14:00::	B1	B	AB	ABC	 was attended by representatives of major organs of the German <font color=green>state</font> , including the Reich Minister of the Interior, the State Secretary	NN	informative	4	1	1.78	0.25	2	state	others
state/NN/br-f14/457	-0.398342377083209	0.0518135546928144	state	NN	popular_lore	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 and the tightening of Stalin 's dictatorship; in the United <font color=green>States</font>  the initiation of militant anti Communism, with the repentant ex	NNPS	informative	1	0	1.56	0	2	States	others
state/NN/br-f15/701	-0.030829935168264	-0.0133104753410328	state	NN	popular_lore	A1	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 considered by non-Catholics in family planning. The laws of many <font color=green>states</font>  permit birth control only for medical reasons. The Roman Catholic	NNS	informative	2	1	1.73	0.5	3	states	others
state/NN/br-f17/1114	-0.0141803497676667	0.112058951593729	state	NN	popular_lore	A5	A	AB	ABC	united_states%1:14:00::	A52	A	AB	ABC	 presence of a colony on the Red prompted the United <font color=green>State</font>  War Department in 1819 to send Lieutenant-Colonel Henry Leavenworth from	NNP	informative	1	0	1.64	0	3	State	others
state/NN/br-f17/1144	-0.0741730421252438	0.132352097579353	state	NN	popular_lore	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 of Prairie du Chien, until then the most advanced United <font color=green>States</font>  post. In September 1822 two companies of infantry arrived at	NNPS	informative	1	0	1.47	0	3	States	others
state/NN/br-f17/1330	-0.0802675756565103	-0.178405744431026	state	NN	popular_lore	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 and disappointed Swiss who turned their eyes toward the United <font color=green>States</font> . Observing their distressing condition, Colonel Snelling allowed these half starved	NNPS	informative	1	0	1.83	0	3	States	others
state/NN/br-f17/1627	-0.0561107169097445	-0.00384088946849411	state	NN	popular_lore	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 Swiss also decided to cast their lot with the United <font color=green>States</font> , and in 1823 several families paid guides to take them	NNPS	informative	1	0	1.49	0	4	States	others
state/NN/br-f17/1774	-0.196595253137115	0.183181625104829	state	NN	popular_lore	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 as Vevay, Indiana, a notable Swiss center in the United <font color=green>States</font> . In 1837, 157 Red River people with more than 200	NNPS	informative	2	1	1.77	0.5	3	States	others
state/NN/br-f17/548	-0.00599205048013911	0.0301918022767696	state	NN	popular_lore	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 of Congress forced the foreign firm out of the United <font color=green>States</font> , its British born employees, now become American citizens- Joseph Rolette	NNPS	informative	1	0	1.86	0	4	States	others
state/NN/br-f17/743	-0.132712823470431	0.111959502226842	state	NN	popular_lore	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 return to the Atlantic coast by way of the United <font color=green>States</font> . In September 1817 at Fort Daer( Pembina) Dickson met the	NNPS	informative	1	0	1.47	0	3	States	others
state/NN/br-f17/794	-0.0502886246571299	0.162074313840068	state	NN	popular_lore	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 route through Illinois territory to Indiana and the eastern United <font color=green>States</font>  was the best route for goods from England to reach	NNPS	informative	1	0	1.78	0	5	States	others
state/NN/br-f17/811	-0.0597837059913947	0.249826498315338	state	NN	popular_lore	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 from England to reach Red River and that the United <font color=green>States</font>  was a better source of supply for many goods than	NNPS	informative	1	0	1.66	0	2	States	others
state/NN/br-f17/844	-0.0196735884942453	0.0502629553426822	state	NN	popular_lore	C	C	C	ABC	secretary_of_state%1:18:01::	C1	C	C	ABC	 on December 22 wrote to John Quincy Adams, Secretary of <font color=green>State</font>  at Washington, inquiring about laws covering trade with`` Missouri and	NNP	informative	2	2	1.49	1	6	State	others
state/NN/br-f19/1831	-0.188061742096668	-0.129408657315115	state	NN	popular_lore	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 of the hundred odd folklore courses given in the United <font color=green>States</font>  survive on sentiment and nationalism alone. If one wishes to	NNPS	informative	1	0	1.55	0	3	States	others
state/NN/br-f19/231	0.018684738855906	0.154457998050124	state	NN	popular_lore	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 pine, and they can be applied again to the United <font color=green>States</font>  in more recent years. The popularity of local color literature	NNPS	informative	1	0	1.65	0	2	States	others
state/NN/br-f19/373	-0.275111988790595	-0.152189149306335	state	NN	popular_lore	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 of the major culture lags of the twentieth century United <font color=green>States</font> . Yet nationalism has lost few of its charms for the	NNPS	informative	1	0	1.82	0	1	States	others
state/NN/br-f19/619	-0.205817497939629	0.00911160942841032	state	NN	popular_lore	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 symbol of honesty and the father image of the uniting <font color=green>States</font> . Abraham Lincoln emerged as an incarnation of the national Constitution	NNPS	informative	4	2	1.24	0.5	3	States	others
state/NN/br-f20/1147	-0.310034342440322	0.259622458226516	state	NN	popular_lore	D	D	D	D	state%1:03:00::	D1	D	D	D	 guest list is in itself a little parable of the <font color=green>state</font>  of American civic life at this time. It included the	NN	informative	2	0	1.04	0	1	state	others
state/NN/br-f22/661	-0.409547216000944	0.256683930188034	state	NN	popular_lore	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 the best troop in the best regiment in the United <font color=green>States</font>  Army. He fed the captain bits of history about the	NNPS	informative	1	0	1.03	0	1	States	others
state/NN/br-f23/1235	-0.0769603444157339	-0.0268036860368302	state	NN	popular_lore	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 it. The evidence suggests that foreign peoples believe the United <font color=green>States</font>  is weaker than the Soviet Union, and is bound to	NNPS	informative	1	0	1.54	0	4	States	others
state/NN/br-f23/129	0.0170933199016615	-0.113161707872644	state	NN	popular_lore	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 these conditions be enjoyed by the people of the United <font color=green>States</font> . I speak of`` the largest possible measure'' because any person	NNPS	informative	1	0	1.36	0	2	States	others
state/NN/br-f23/1705	0.110280072280295	-0.111455033826965	state	NN	popular_lore	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 isolation and capture, not of Ghana, but of the United <font color=green>States</font> - and this purpose may be served very well by countries	NNPS	informative	1	0	1.04	0	1	States	others
state/NN/br-f23/773	-0.186792852564011	-0.0750344611364901	state	NN	popular_lore	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 over-all American strength with over-all Soviet strength finds the United <font color=green>States</font>  not only superior, but so superior both in present weapons	NNPS	informative	1	0	1.45	0	5	States	others
state/NN/br-f24/1198	-0.113957363417923	0.175060928547611	state	NN	popular_lore	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 of Paradise. He had attended three universities in the United <font color=green>States</font> . But he had never seen the mountainous half of his	NNPS	informative	1	0	1.46	0	2	States	others
state/NN/br-f24/525	-0.165781381591454	0.0609928171561576	state	NN	popular_lore	D	D	D	D	state%1:03:00::	D1	D	D	D	 11, 1960). And now, in March, all Laos suffered a <font color=green>state</font>  of siege. The Pathet Lao forces held two northern provinces	NN	informative	1	0	1.65	0	3	state	others
state/NN/br-f33/1948	-0.389183234528942	-0.153212546704049	state	NN	popular_lore	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 get in. In a far distant part of the United <font color=green>States</font> , I was talking to an instructor about a boy who	NNPS	informative	1	0	1.2	0	1	States	others
state/NN/br-g01/1187	0.271401906029525	-0.0520845745575741	state	NN	belles_lettres	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 traditional way of life persists much more in the older <font color=green>states</font>  than in the new ones. Probably a larger percentage of	NNS	informative	5	0	2.52	0	1	states	others
state/NN/br-g01/1276	-0.171935074421558	0.190326668907864	state	NN	belles_lettres	A4	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 of course, important minority enclaves. The long settled areas of <font color=green>states</font>  like Virginia and South Carolina developed the ante-bellum culture to	NNS	informative	4	1	2.11	0.25	3	states	others
state/NN/br-g01/1429	-0.0344161275384509	0.270945143125354	state	NN	belles_lettres	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 by the mother country. And no doubt many people in <font color=green>states</font>  like the Carolinas and Georgia, which were among the most	NNS	informative	3	1	1.28	0.33	1	states	others
state/NN/br-g01/1498	-0.131681443015675	0.0583837219438279	state	NN	belles_lettres	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 that except for Northern meddling it would have ended in <font color=green>states</font>  like Virginia years before it did. Southern resentment has been	NNS	informative	2	2	1.52	1	5	states	others
state/NN/br-g01/26	0.066039074131101	0.174880744066604	state	NN	belles_lettres	C	C	C	ABC	welfare_state%1:14:00::	B	B	AB	ABC	 also led the nation in the direction of a welfare <font color=green>state</font> . And both in their objectives of non-discrimination and of social	NN	informative	4	2	2.29	0.5	2	state	others
state/NN/br-g01/454	-0.0719804419892127	0.0456642866244749	state	NN	belles_lettres	A1	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 to coerce an uncooperative Congress or Supreme Court. As for <font color=green>states</font> ' rights, they have never counted in the thinking of my	NNS	informative	4	1	1.84	0.25	4	states	others
state/NN/br-g17/2109	-0.0121216799460414	0.395820186077641	state	NN	belles_lettres	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 the chief universities, colleges, and preparatory schools of the United <font color=green>States</font> . Why should this be so? It is true that New	NNPS	informative	1	0	1.83	0	1	States	others
state/NN/br-g17/2194	-0.177190328009991	0.0820761615284318	state	NN	belles_lettres	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 country? Is n't it a bit odd that the three <font color=green>states</font>  of Southern New England( Massachusetts, Connecticut, and Rhode Island) have	NNS	informative	4	2	1.77	0.5	4	states	others
state/NN/br-g17/2210	0.00792178355840526	0.144478216600538	state	NN	belles_lettres	A2	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 Southern New England( Massachusetts, Connecticut, and Rhode Island) have had <font color=green>state</font>  institutions of university status only in the very recent past	NN	informative	5	2	1.96	0.4	4	state	others
state/NN/br-g17/2310	0.0364735013904113	0.171906738132477	state	NN	belles_lettres	A	A	AB	ABC	state%1:15:01::	A	A	AB	ABC	 the West? Is it not ironical that Roger Williams 's <font color=green>state</font> , Rhode Island, should have been the very last of the	NN	informative	1	0	1.68	0	3	state	others
state/NN/br-g19/545	0.0884982028646055	0.312872120705846	state	NN	belles_lettres	A5	A	AB	ABC	united_states%1:15:00::	A51	A	AB	ABC	 of the giant corporations in Western Europe and the United <font color=green>States</font>  dates from the period 1880- 1900. Now, although the roots	NNPS	informative	1	0	2.06	0	2	States	others
state/NN/br-g21/1159	-0.364390596097858	-0.0932381850698558	state	NN	belles_lettres	A5	A	AB	ABC	united_states%1:14:00::	A52	A	AB	ABC	 During the next five years liberal leaders in the United <font color=green>States</font>  sank in the cumulative confusion attendant upon and manifested in	NNPS	informative	1	0	1.07	0	1	States	others
