id	model.x	model.y	lemma	pos	genre	broadGenre	marisense	mbroad	mari3	mari2	sensekey	wnsense	wnbroad	wn3	wn2	text	newPos	newBroadGenre	cues	cuesWithWeight	meanWeight	weightedCuesRatio	weightedCW	wf
state/NN/br-a04/590	-0.14441408014092	-0.0889395560544138	state	NN	press_reportage	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 the Secretary of State has not only reiterated the United <font color=green>States</font> ' profound attachment to the alliance,`` cornerstone'' of its foreign policy	NNPS	informative	1	0	2.61	0	1	States
state/NN/br-a04/627	-0.0902780461848012	-0.0482501877127867	state	NN	press_reportage	press	C	C	C	ABC	Z	Z	Z	Z	Z	 at NATO 's disposal in European waters. The Secretary of <font color=green>State</font>  has also solemnly repeated a warning to the Soviet Union	NNP	informative	1	1	2.35	1	3	State
state/NN/br-a04/641	-0.327802455486875	0.162186983261403	state	NN	press_reportage	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 repeated a warning to the Soviet Union that the United <font color=green>States</font>  will not stand for another setback in Berlin, an affirmation	NNPS	informative	1	0	2.33	0	1	States
state/NN/br-a04/891	-0.0924938054713814	0.00787434563465896	state	NN	press_reportage	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 in military actions on the ground in Laos. The United <font color=green>States</font> , State Department officials explain, now is mainly interested in setting	NNPS	informative	1	0	2.11	0	1	States
state/NN/br-a04/893	-0.0924938054713814	0.00787434563465896	state	NN	press_reportage	press	C	C	C	ABC	Z	Z	Z	Z	Z	 military actions on the ground in Laos. The United States, <font color=green>State</font>  Department officials explain, now is mainly interested in setting up	NNP	informative	2	1	2.11	0.5	1	State
state/NN/br-a04/949	-0.251982054876438	-0.133875602765713	state	NN	press_reportage	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 countries attending the Geneva conference to achieve this. The United <font color=green>States</font>  hopes that any future Lao Cabinet would not become Communist	NNPS	informative	1	0	2.36	0	2	States
state/NN/br-a05/903	0.304275931072854	0.225036060785531	state	NN	press_reportage	press	A2	A	AB	ABC	Z	Z	Z	Z	Z	 into the situation. There has been more activity across the <font color=green>state</font>  line in Massachusetts than in Rhode Island in recent weeks	NN	informative	4	1	2.17	0.25	1	state
state/NN/br-a05/930	0.289996316710926	0.385384344643236	state	NN	press_reportage	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 Sunday sales laws. The statutes, similar in both the Bay <font color=green>State</font>  and Rhode Island and dating back in some instances to	NNP	informative	3	0	2.57	0	1	State
state/NN/br-a06/1356	-0.0924938054713814	0.00787434563465896	state	NN	press_reportage	press	A2	A	AB	ABC	Z	Z	Z	Z	Z	 a lawyer. Jim Sheeran fits that description''. William J. Seidel, <font color=green>state</font>  fire warden in the Department of Conservation and Economic Development	NN	informative	5	1	2.11	0.2	1	state
state/NN/br-a06/1398	-0.0924938054713814	0.00787434563465896	state	NN	press_reportage	press	A4	A	AB	ABC	Z	Z	Z	Z	Z	 a reduction in the number of forest fires in the <font color=green>state</font> . Seidel joined the department in 1925 as a division fire	NN	informative	3	1	2.11	0.33	1	state
state/NN/br-a06/1529	-0.0924938054713814	0.00787434563465896	state	NN	press_reportage	press	A3	A	AB	ABC	Z	Z	Z	Z	Z	 fire prevention program in co-operation with the Red Cross and <font color=green>State</font>  Department of Education. Richard J. Hughes made his Morris County	NNP	informative	3	1	2.11	0.33	1	State
state/NN/br-a07/811	-0.0924938054713814	0.00787434563465896	state	NN	press_reportage	press	A3	A	AB	ABC	Z	Z	Z	Z	Z	 life. Day after day some new episode is reported. The <font color=green>state</font>  Public Works Department is accused of having spent$ 8555 to	NN	informative	4	1	2.11	0.25	1	state
state/NN/br-a07/829	-0.0216576017692603	-0.337639454064258	state	NN	press_reportage	press	A2	A	AB	ABC	Z	Z	Z	Z	Z	 having spent$ 8555 to build a private beach for a <font color=green>state</font>  judge on his waterfront property. An assistant attorney general is	NN	informative	4	1	2.64	0.25	1	state
state/NN/br-a08/1073	-0.152938765815152	0.139080029603634	state	NN	press_reportage	press	A	A	AB	ABC	Z	Z	Z	Z	Z	 a session is the highly sensitive problem of cutting the <font color=green>state</font>  's congressional districts from six to five to eliminate one	NN	informative	3	2	2.33	0.67	2	state
state/NN/br-a08/2052	-0.1977319414003	0.173305508730521	state	NN	press_reportage	press	A3	A	AB	ABC	Z	Z	Z	Z	Z	 steps to trim spending at the spring session of the <font color=green>state</font>  Legislature. This might be done to arouse those who have	NN	informative	2	1	2.2	0.5	1	state
state/NN/br-a08/285	0.315322888411786	-0.335240294765082	state	NN	press_reportage	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 Within view of the avenue are some of the United <font color=green>States</font>  government 's tremendous buildings, plus shrines and monuments. Of course	NNPS	informative	1	0	2.22	0	1	States
state/NN/br-a08/428	0.315313520411337	-0.335234531140359	state	NN	press_reportage	press	A	A	AB	ABC	Z	Z	Z	Z	Z	 avenue which saw marching soldiers from the War Between the <font color=green>States</font>  returning in 1865 is the National Archives building where hundreds	NNPS	informative	4	0	2.22	0	1	States
state/NN/br-a10/111	-0.073519646270778	-0.116933125572719	state	NN	press_reportage	press	C	C	C	ABC	Z	Z	Z	Z	Z	 than aiding them economically, E. M. Martin, assistant secretary of <font color=green>state</font>  for economic affairs told members of the World Affairs Council	NN	informative	3	1	2.62	0.33	2	state
state/NN/br-a10/379	-0.14441408014092	-0.0889395560544138	state	NN	press_reportage	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 patient'', the assistant secretary said. Economically, Martin said, the United <font color=green>States</font>  could best help foreign countries by helping them help themselves	NNPS	informative	1	0	2.61	0	1	States
state/NN/br-a19/1618	-0.073519646270778	-0.116933125572719	state	NN	press_reportage	press	C	C	C	ABC	Z	Z	Z	Z	Z	 L. Simpkins, his administrative assistant, as Maryland 's Secretary of <font color=green>State</font> . Mr. Simpkins will move into the post being vacated by	NNP	informative	3	1	2.62	0.33	2	State
state/NN/br-a20/1653	0.0236487928801157	-0.251015730764835	state	NN	press_reportage	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 mayor 's medal''. In opening, D. Arthur Connelly, assistant United <font color=green>States</font>  attorney, read the indictment, but made no comments. Attorneys for	NNPS	informative	1	0	2.41	0	2	States
state/NN/br-a20/22	0.140692357280382	-0.430396525080076	state	NN	press_reportage	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 submarine, the Dreadnought, and, by implication, of the entire United <font color=green>States</font>  navy 's still-building nuclear sub fleet, were stolen by a	NNPS	informative	1	0	2.01	0	1	States
state/NN/br-a20/89	0.140692357280137	-0.430396525079397	state	NN	press_reportage	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 It has a hull patterned on that of the United <font color=green>States</font>  navy 's Nautilus, the world 's first atomic submarine. Its	NNPS	informative	1	0	2.01	0	1	States
state/NN/br-a21/1761	-0.101477906604747	-0.421293806003812	state	NN	press_reportage	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 made after a cabinet decision was to request the United <font color=green>States</font>  to establish a full-fledged military assistance group instead of the	NNPS	informative	3	1	2.05	0.33	1	States
state/NN/br-a22/1928	-0.380256355232872	0.108028007284005	state	NN	press_reportage	press	A2	A	AB	ABC	Z	Z	Z	Z	Z	 acres infested by the ants, according to W. E. Blasingame <font color=green>state</font>  entomologist. Low-flying planes will spread a granular-type chemical, heptachlor, over	NN	informative	1	0	2.13	0	1	state
state/NN/br-a23/1578	0.261514752472446	-0.22914365509476	state	NN	press_reportage	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 over the 4500 other Junior Achievement companies in the United <font color=green>States</font>  and Canada. The award is the first such honor in	NNPS	informative	1	0	2.04	0	1	States
state/NN/br-a23/32	-0.0861473414997637	0.25001026233856	state	NN	press_reportage	press	A1	A	AB	ABC	Z	Z	Z	Z	Z	 to handle an unusually high summer month 's need, the <font color=green>state</font>  public welfare commission was told Friday. It is the only	NN	informative	3	1	2.83	0.33	1	state
state/NN/br-a23/505	-0.0861473414997637	0.25001026233856	state	NN	press_reportage	press	A3	A	AB	ABC	Z	Z	Z	Z	Z	 completed, he said, and added Field 's long service in <font color=green>state</font>  government and welfare employ gave him familiarity with the welfare	NN	informative	2	0	2.83	0	2	state
state/NN/br-a23/69	-0.300359576393286	0.28871635670089	state	NN	press_reportage	press	A1	A	AB	ABC	Z	Z	Z	Z	Z	 category, for which emergency allotment can be given by the <font color=green>state</font>  if necessary. William Smythe, director of field service, told the	NN	informative	2	1	3.29	0.5	1	state
state/NN/br-a24/1016	-0.0640103001640721	-0.262355264500819	state	NN	press_reportage	press	A3	A	AB	ABC	Z	Z	Z	Z	Z	 could not be reached for comment. In its ruling, the <font color=green>state</font>  Board of Education upheld Dr. Michael F. Walsh, state commissioner	NN	informative	3	0	2.32	0	3	state
state/NN/br-a24/1026	-0.0111142531361133	-0.333441874784041	state	NN	press_reportage	press	A2	A	AB	ABC	Z	Z	Z	Z	Z	 the state Board of Education upheld Dr. Michael F. Walsh, <font color=green>state</font>  commissioner of education, who had ruled previously that the Warwick	NN	informative	3	0	2.15	0	2	state
state/NN/br-a24/942	-0.118876536846595	-0.321073447618337	state	NN	press_reportage	press	A3	A	AB	ABC	Z	Z	Z	Z	Z	 of a coordinator of audio-visual education may go to the <font color=green>state</font>  Supreme Court, it appeared last night. Two members of the	NN	informative	2	0	2.18	0	1	state
state/NN/br-a24/972	-0.176823101252614	-0.372434466900023	state	NN	press_reportage	press	A3	A	AB	ABC	Z	Z	Z	Z	Z	 they probably would vote to appeal a ruling by the <font color=green>state</font>  Board of Education, which said yesterday that the school committee	NN	informative	4	1	2.65	0.25	1	state
state/NN/br-a28/1391	6.00560711256181e-05	0.407180020636597	state	NN	press_reportage	press	A3	A	AB	ABC	Z	Z	Z	Z	Z	 the benefit received. A rule on the Federal deductibility of <font color=green>state</font>  taxes is contested. A realty corporation in Louisiana owed no	NN	informative	3	1	2.4	0.33	1	state
state/NN/br-a28/2021	-0.110274045517358	-0.246489522445227	state	NN	press_reportage	press	A	A	AB	ABC	Z	Z	Z	Z	Z	 to be absorbed in the higher area tax. The Washington <font color=green>state</font>  supreme court ruled that the state 's occupation tax applied	NN	informative	4	1	2.12	0.25	2	state
state/NN/br-a28/2027	-0.110274045517358	-0.246489522445227	state	NN	press_reportage	press	A	A	AB	ABC	Z	Z	Z	Z	Z	 area tax. The Washington state supreme court ruled that the <font color=green>state</font>  's occupation tax applied to sales, made at cost to	NN	informative	6	1	2.12	0.17	2	state
state/NN/br-a28/2062	-0.243331322495164	-0.336409443438323	state	NN	press_reportage	press	A	A	AB	ABC	Z	Z	Z	Z	Z	 certain supplies without divulging the identity of the parent. The <font color=green>state</font>  's occupation tax is computed on gross sales. The court	NN	informative	4	1	2.07	0.25	1	state
state/NN/br-a33/1770	-0.436315260142195	0.0044226970576332	state	NN	press_reportage	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 Accepted Scottish Rite for the Southern Jurisdiction of the United <font color=green>States</font> . The opening session of the 5- day session will begin	NNPS	informative	1	0	3.12	0	1	States
state/NN/br-a34/673	-3.82170484193569e-05	0.227001651394388	state	NN	press_reportage	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 it unnecessary. He wanted time, too, to review the United <font color=green>States</font> ' global commitments and to test both the policies he had	NNPS	informative	1	0	2.24	0	2	States
state/NN/br-a35/1027	0.440850313042982	-0.155998697800642	state	NN	press_reportage	press	A2	A	AB	ABC	Z	Z	Z	Z	Z	 be acclimatized to the democratic processes of the secular or <font color=green>state</font>  university. And while no one expects total democracy on the	NN	informative	3	1	2.35	0.33	1	state
state/NN/br-a37/13	-0.14441408014092	-0.0889395560544138	state	NN	press_reportage	press	C	C	C	ABC	Z	Z	Z	Z	Z	 a closed-door session on Capitol Hill last week, Secretary of <font color=green>State</font>  Christian Herter made his final report to the Senate Foreign	NNP	informative	1	1	2.61	1	1	State
state/NN/br-a37/614	-0.387152186259603	-0.135320016599826	state	NN	press_reportage	press	B	B	AB	ABC	Z	Z	Z	Z	Z	 demands and agreed to the setting up of a Communist <font color=green>state</font> , North Viet Nam- which then, predictably, became a base for	NN	informative	2	0	2.4	0	2	state
state/NN/br-a37/643	-0.155243167753699	-0.0598153068307374	state	NN	press_reportage	press	C	C	C	ABC	Z	Z	Z	Z	Z	 neighboring South Viet Nam and Laos. The late Secretary of <font color=green>State</font>  John Foster Dulles considered the 1954 Geneva agreement a specimen	NNP	informative	1	1	2.52	1	4	State
state/NN/br-a44/251	-0.143425947073752	0.18932116816938	state	NN	press_reportage	press	A3	A	AB	ABC	Z	Z	Z	Z	Z	 co-operative movement has begun to grow, under the wing of <font color=green>state</font>  governments, whereby, with the financial help of the state, libraries	NN	informative	2	1	2.71	0.5	1	state
state/NN/br-a44/262	-0.143425947073752	0.18932116816938	state	NN	press_reportage	press	A1	A	AB	ABC	Z	Z	Z	Z	Z	 of state governments, whereby, with the financial help of the <font color=green>state</font> , libraries share their book resources on a county-wide or regional	NN	informative	6	1	2.71	0.17	1	state
state/NN/br-a44/442	-0.143425947073752	0.18932116816938	state	NN	press_reportage	press	A1	A	AB	ABC	Z	Z	Z	Z	Z	 systems financed by county governments with matching funds from the <font color=green>state</font> . It was a step in the right direction, but it	NN	informative	3	1	2.71	0.33	1	state
state/NN/br-a44/764	-0.281744853134	0.212909903320794	state	NN	press_reportage	press	A3	A	AB	ABC	Z	Z	Z	Z	Z	 resources of a given area for maximum efficiency. The basic <font color=green>state</font>  grant is thirty cents for each person served, and there	NN	informative	2	1	2.72	0.5	1	state
state/NN/br-b01/1030	-0.073519646270778	-0.116933125572719	state	NN	press_editorial	press	C	C	C	ABC	Z	Z	Z	Z	Z	 rapidly. Touring Africa, the new U. S. assistant secretary of <font color=green>state</font>  observed`` Africa should be for the Africans'' and the British	NN	informative	1	1	2.62	1	2	state
state/NN/br-b01/1074	0.103469600858035	0.383027419043823	state	NN	press_editorial	press	A	A	AB	ABC	Z	Z	Z	Z	Z	 American imperialists, go home''. Chin up, Soapy. Confidence in the <font color=green>state</font>  's economic future is reflected in the Georgia Power Company	NN	informative	3	0	2.21	0	1	state
state/NN/br-b01/288	-0.1977319414003	0.173305508730521	state	NN	press_editorial	press	A4	A	AB	ABC	Z	Z	Z	Z	Z	 question and its companion issue of attracting industry to the <font color=green>state</font> . The legislature expended most of its time on the schools	NN	informative	3	1	2.2	0.33	1	state
state/NN/br-b01/614	-0.195383102927096	0.0465961135639194	state	NN	press_editorial	press	A3	A	AB	ABC	Z	Z	Z	Z	Z	 Commission. Coupling its own budget of$ 83750 with a$ 30000 <font color=green>state</font>  grant authorized by Gov. Vandiver, the group expects to sign	NN	informative	3	1	2.38	0.33	2	state
state/NN/br-b01/862	-0.14441408014092	-0.0889395560544138	state	NN	press_editorial	press	C	C	C	ABC	Z	Z	Z	Z	Z	 American military forces to fight conventional wars too, Secretary of <font color=green>State</font>  Rusk junks bluff and nuclear brinkmanship and builds more muscle	NNP	informative	1	1	2.61	1	1	State
state/NN/br-b02/1715	-0.389987811160727	-0.155664531642909	state	NN	press_editorial	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 2000 tough Viet Minh guerrilla fighters. But for the United <font color=green>States</font>  and its SEATO allies to attempt to shore up a	NNPS	informative	1	0	2.49	0	1	States
state/NN/br-b02/1892	-0.0903879200305118	-0.00941634229513407	state	NN	press_editorial	press	C	C	C	ABC	Z	Z	Z	Z	Z	 concept that for six years it bypassed as unreasonable. The <font color=green>State</font>  Department tacitly rejected the neutral Laos idea after the Geneva	NNP	informative	1	1	2.38	1	2	State
state/NN/br-b02/2120	0.088189646932347	-0.210584596006663	state	NN	press_editorial	press	A1	A	AB	ABC	Z	Z	Z	Z	Z	 federal funds. This year 's Senate measure would provide each <font color=green>state</font>  and the District of Columbia with$ 1000000 to be used	NN	informative	3	0	2.88	0	2	state
state/NN/br-b04/1971	-0.0942346709998712	0.23176113311404	state	NN	press_editorial	press	A4	A	AB	ABC	Z	Z	Z	Z	Z	 commissions, boards and councils and other public agencies in this <font color=green>state</font>  exist to aid in the conduct of the people 's	NN	informative	5	1	2.26	0.2	1	state
state/NN/br-b04/2010	-0.0942346709998712	0.23176113311404	state	NN	press_editorial	press	A4	A	AB	ABC	Z	Z	Z	Z	Z	 that their deliberations be conducted openly.`` The people of this <font color=green>state</font>  do not yield their sovereignty to the agencies that serve	NN	informative	3	1	2.26	0.33	1	state
state/NN/br-b04/640	-0.0627002533993508	0.119692315242049	state	NN	press_editorial	press	A3	A	AB	ABC	Z	Z	Z	Z	Z	 consistently. So have the people 's elected spokesmen at the <font color=green>state</font>  and federal levels. Interama, as it rises, will be a	NN	informative	3	2	2.2	0.67	2	state
state/NN/br-b04/830	-0.053494973412485	0.4026319205661	state	NN	press_editorial	press	A3	A	AB	ABC	Z	Z	Z	Z	Z	 progressed in a sound and equitable program at both the <font color=green>state</font>  and local levels in its efforts to review and assess	NN	informative	3	1	2.08	0.33	1	state
state/NN/br-b05/804	-0.0924938054713814	0.00787434563465896	state	NN	press_editorial	press	C	C	C	ABC	Z	Z	Z	Z	Z	 by Sen. Jackson of Washington has been going over the <font color=green>State</font>  Department and has reached some predictable conclusions. The department needs	NNP	informative	1	1	2.11	1	2	State
state/NN/br-b06/2079	-0.387152186259603	-0.135320016599826	state	NN	press_editorial	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 be forthcoming. South Viet Nam has received$ 1450000000 in United <font color=green>States</font>  aid since 1954 and the rate of assistance has been	NNPS	informative	1	0	2.4	0	2	States
state/NN/br-b07/452	0.497297558566852	0.00856472120012619	state	NN	press_editorial	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 instructions. This is the root issue for which the United <font color=green>States</font>  should stand. We should not become confused or let our	NNPS	informative	1	0	2.04	0	1	States
state/NN/br-b11/1305	-0.307996048481471	-0.154895546799925	state	NN	press_editorial	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 to solve the internal and external problems besetting the United <font color=green>States</font>  and its NATO partners. Washington apparently decided to use an	NNPS	informative	1	0	2.1	0	1	States
state/NN/br-b11/177	-0.152938765815152	0.139080029603634	state	NN	press_editorial	press	A	A	AB	ABC	Z	Z	Z	Z	Z	 for a whole series of lesser candidate-picking conventions in the <font color=green>state</font>  's 38 new Congressional districts. At the head of the	NN	informative	4	1	2.33	0.25	2	state
state/NN/br-b11/754	-0.281645229894528	-0.0124173972678819	state	NN	press_editorial	press	A3	A	AB	ABC	Z	Z	Z	Z	Z	 CDC 's broad appeal. State Sen. Dick Richards will keynote; <font color=green>state</font>  and county committeemen, CDC directors and representatives, members of 16	NN	informative	2	0	2.15	0	1	state
state/NN/br-b12/673	-0.100409424472003	-0.0955199188707014	state	NN	press_editorial	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 man who was instrumental in opening relations between the United <font color=green>States</font>  and Korea, Frederick T. Frelinghuysen, secretary of state in the	NNPS	informative	1	0	2.63	0	3	States
state/NN/br-b12/683	-0.0900799962042917	-0.0772185036384091	state	NN	press_editorial	press	C	C	C	ABC	Z	Z	Z	Z	Z	 the United States and Korea, Frederick T. Frelinghuysen, secretary of <font color=green>state</font>  in the administration of Chester A. Arthur. In addition Rep.	NN	informative	2	1	2.59	0.5	4	state
state/NN/br-b12/706	-0.0924938054713814	0.00787434563465896	state	NN	press_editorial	press	C	C	C	ABC	Z	Z	Z	Z	Z	 's brother Harry was on the Korean desk of the <font color=green>State</font>  Department in World War 2,. Next year is the 80	NNP	informative	1	1	2.11	1	1	State
state/NN/br-b12/732	-0.356021135676926	-0.326513202010923	state	NN	press_editorial	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 the signing of the treaty between Korea and the United <font color=green>States</font>  and experts in Seoul are trying to find the correspondence	NNPS	informative	1	0	2.73	0	1	States
state/NN/br-b12/751	-0.110592058941681	-0.0895930691451278	state	NN	press_editorial	press	C	C	C	ABC	Z	Z	Z	Z	Z	 find the correspondence between Frederick Frelinghuysen, who was secretary of <font color=green>state</font>  in 1883 and 1884, and Gen. Lucius Foote, who was	NN	informative	1	1	2.58	1	2	state
state/NN/br-b14/1694	-0.0218469049940448	0.254266986245486	state	NN	press_editorial	press	A1	A	AB	ABC	Z	Z	Z	Z	Z	 Legislature go toward setting up a self-insurance system for the <font color=green>state</font>  in the midst of a governor 's race``? How unpartisan	NN	informative	3	1	2.2	0.33	1	state
state/NN/br-b14/2124	-0.1977319414003	0.173305508730521	state	NN	press_editorial	press	B	B	AB	ABC	Z	Z	Z	Z	Z	 tour of debates, it can provide a service to the <font color=green>state</font> . But the Legislature should be granted the opportunity to complete	NN	informative	3	1	2.2	0.33	1	state
state/NN/br-b16/1654	-0.0980973081143315	-0.270840455966642	state	NN	press_editorial	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 burden on du Pont stockholders, in connection with the United <font color=green>States</font>  Supreme court ruling that du Pont must divest itself of	NNPS	informative	1	0	2.42	0	2	States
state/NN/br-b18/35	0.0663787586507837	0.355233376111217	state	NN	press_editorial	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 make conventional warfare of the past a nullity. The United <font color=green>States</font>  and Soviet Russia have enough nuclear weapons to destroy all	NNPS	informative	1	0	2.33	0	1	States
state/NN/br-b18/919	-0.436315260142195	0.0044226970576332	state	NN	press_editorial	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 matter is essentially within the domestic jurisdiction of the United <font color=green>States</font>  in a case before the World Court to which the	NNPS	informative	1	0	3.12	0	1	States
state/NN/br-b20/1056	-0.0924938054713814	0.00787434563465896	state	NN	press_editorial	press	C	C	C	ABC	state_department%1:14:00::	C1	C	C	ABC	 which will bring down the wall and reunite the city. <font color=green>State</font>  Department officials refusing to show their passes at the boundary	NNP	informative	2	1	2.11	0.5	1	State
state/NN/br-b22/1259	-0.102955874439681	-0.0699237185753471	state	NN	press_editorial	press	C	C	C	ABC	Z	Z	Z	Z	Z	 stand. The public appeal by the new Vatican Secretary of <font color=green>State</font> , Cardinal Cicognani, for renewed efforts toward Eastern and Western reunion	NNP	informative	3	1	2.6	0.33	2	State
state/NN/br-b25/593	-0.0585741902549984	0.173770863851723	state	NN	press_editorial	press	C	C	C	ABC	Z	Z	Z	Z	Z	 other'' 50 per cent of the nation from that`` welfare <font color=green>state</font> '' which the Soviet Union so greatly prides itself on being	NN	informative	4	1	2.58	0.25	2	state
state/NN/br-b25/842	-0.0861473414997637	0.25001026233856	state	NN	press_editorial	press	C	C	C	ABC	Z	Z	Z	Z	Z	 against all the more popular features of the Khrushchev`` welfare <font color=green>state</font> ''. The trouble with all these doctrinal quarrels is that we	NN	informative	3	1	2.83	0.33	1	state
state/NN/br-b27/1505	0.261514752472447	-0.229143655094761	state	NN	press_editorial	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 one of these schools, in England, Canada, and the United <font color=green>States</font> . We set up the Lloyd 's Neck school, worked out	NNPS	informative	1	0	2.04	0	1	States
state/NN/br-c01/1164	-0.0861473414997637	0.25001026233856	state	NN	press_reviews	press	C	C	C	ABC	welfare_state%1:14:00::	B	B	AB	ABC	 we should take from these pages is that the welfare <font color=green>state</font>  in England still allows wild scope for all kinds of	NN	informative	1	1	2.83	1	1	state
state/NN/br-c06/257	-0.0924938054713814	0.00787434563465896	state	NN	press_reviews	press	C	C	C	ABC	Z	Z	Z	Z	Z	 subsequently convicted of perjury in denying that he gave secret <font color=green>State</font>  Department documents to Soviet agents, was at Yalta. And Harry	NNP	informative	2	1	2.11	0.5	1	State
state/NN/br-c06/581	-0.0924938054713814	0.00787434563465896	state	NN	press_reviews	press	C	C	C	ABC	Z	Z	Z	Z	Z	 Union in 1941, he penned a private note to a <font color=green>State</font>  Department official, expressing the hope that`` never would we associate	NNP	informative	1	1	2.11	1	1	State
state/NN/br-c16/1216	-0.0822321663150656	0.193072551795789	state	NN	press_reviews	press	C	C	C	ABC	Z	Z	Z	Z	Z	 Government devoted its attention to the creation of a welfare <font color=green>state</font> . With Britain looking inward, overseas problems were neglected and the	NN	informative	4	1	2.48	0.25	2	state
state/NN/br-c16/1236	-0.252196774973537	0.370782952158428	state	NN	press_reviews	press	A5	A	AB	ABC	Z	Z	Z	Z	Z	 neglected and the baton was passed on to the United <font color=green>States</font> . Montgomery believes that she started well.`` America gave generously in	NNPS	informative	2	0	2.12	0	1	States
state/NNP/br-a01/1035	0.0918840837943122	-0.026679151089574	state	NNP	press_reportage	press	A3	A	AB	ABC	person%1:03:00::	C1	C	C	ABC	 night in Blue Ridge brought enthusiastic responses from the audience. <font color=green>State</font>  Party Chairman James W. Dorsey added that enthusiasm was picking	NNP	informative	2	1	2.74	0.5	7	State
